ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _wc_average_rating,Meta: _wc_review_count,Meta: _wo_test_batch,Meta: _virtual,Meta: _downloadable
1034,variable,WO-MEMORY-FOAM-MEMORY,0850001000178,Composition Sticker Sheet,1,0,visible,"Primary-shape stickers for letters, journals, and packaging.","A sheet of circles, bars, squares, and triangles printed on matte stock with black hairline guides.",,,taxable,,1,,5,no,0,0.2,15,15,10,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,48.0,"Shop > Moods & Feelings, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-memory-foam-memory.jpg,,,,,"WO-SPARE-TUESDAY, WO-BORROWED-NOSTALGIA",WO-SILENCE-JAR,,,16,Density,Soft|Medium|Firm,1,1,Medium,Memory,Beach Day|Warm Kitchen|Rainy Afternoon,1,1,Warm Kitchen,Brand,Bauhaus Press,1,1,,,,,,Composition Sticker Sheet | Bauhaus Press,"Composition Sticker Sheet: Primary-shape stickers for letters, journals, and packaging.",composition sticker sheet,4.8,93,2026-04-16-a,no,no
1035,variation,WO-MEMORY-FOAM-MEMORY-V1,,Memory Foam Memory – Soft / Beach Day,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Soft, Memory: Beach Day.",,,taxable,,1,12,3,no,0,0.2,15,15,10,0,,,48.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-memory-foam-memory.jpg,,,id:1034,,,,,,0,Density,Soft,,,,Memory,Beach Day,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1036,variation,WO-MEMORY-FOAM-MEMORY-V2,,Memory Foam Memory – Medium / Warm Kitchen,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Medium, Memory: Warm Kitchen.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,9,3,no,0,0.2,15,15,10,0,,42.0,54.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-memory-foam-memory.jpg,,,id:1034,,,,,,1,Density,Medium,,,,Memory,Warm Kitchen,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1037,variation,WO-MEMORY-FOAM-MEMORY-V3,,Memory Foam Memory – Firm / Rainy Afternoon,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Firm, Memory: Rainy Afternoon.",,,taxable,,1,3,3,no,0,0.2,15,15,10,0,,,62.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-memory-foam-memory.jpg,,,id:1034,,,,,,2,Density,Firm,,,,Memory,Rainy Afternoon,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1038,variable,WO-GENTLY-USED-LUCK,0850001000185,Press Proof Cards,1,0,visible,"Small proof cards for swatches, type tests, and shop notes.","Cream cards with registration marks and room for a price, SKU, or sudden conviction.",,,taxable,,1,,5,no,0,0.05,10,7,1,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,22.0,"Shop > Curiosities, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-gently-used-luck.jpg,,,,,WO-MOON-DUST,WO-WHISPERING-STONE,,,17,Condition,Good|Fair|Rough,1,1,Good,Luck Type,General|Gambling|Romantic,1,1,General,Brand,Bauhaus Press,1,1,,,,,,Press Proof Cards | Bauhaus Press,"Press Proof Cards: Small proof cards for swatches, type tests, and shop notes.",press proof cards,3.6,67,2026-04-16-a,no,no
1039,variation,WO-GENTLY-USED-LUCK-V1,,Gently Used Luck – Good / General,1,0,visible,,"Variation of Gently Used Luck. Specific combination: Condition: Good, Luck Type: General.",,,taxable,,1,30,3,no,0,0.05,10,7,1,0,,,22.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-gently-used-luck.jpg,,,id:1038,,,,,,0,Condition,Good,,,,Luck Type,General,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1040,variation,WO-GENTLY-USED-LUCK-V2,,Gently Used Luck – Fair / Gambling,1,0,visible,,"Variation of Gently Used Luck. Specific combination: Condition: Fair, Luck Type: Gambling.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,18,3,no,0,0.05,10,7,1,0,,12.0,16.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-gently-used-luck.jpg,,,id:1038,,,,,,1,Condition,Fair,,,,Luck Type,Gambling,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1041,variation,WO-GENTLY-USED-LUCK-V3,,Gently Used Luck – Rough / Romantic,1,0,visible,,"Variation of Gently Used Luck. Specific combination: Condition: Rough, Luck Type: Romantic.",,,taxable,,1,7,3,no,0,0.05,10,7,1,0,,,9.0,,,standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-gently-used-luck.jpg,,,id:1038,,,,,,2,Condition,Rough,,,,Luck Type,Romantic,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1042,grouped,WO-MONDAY-KIT,0850001000192,Morning Layout Kit,1,1,visible,"Starter kit with cards, labels, pencil, clip, and folded grid sheet.",Everything needed to make the first page of the day look intentional.,,,none,,1,,0,no,0,0.8,30,20,15,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,,"Shop > Curated Bundles, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-monday-kit.jpg,,,,"WO-BOTTLED-MORNING, WO-DREAD-REPELLENT, WO-SILENCE-JAR",WO-SENSORY-STARTER,WO-HAUNTED-CANDLE,,,18,Brand,Bauhaus Press,1,1,,Items,3 products,1,0,,Savings,~15%,1,0,,,,,,Morning Layout Kit | Bauhaus Press,"Morning Layout Kit: Starter kit with cards, labels, pencil, clip, and folded grid sheet.",morning layout kit,4.8,54,2026-04-16-a,no,no
1043,grouped,WO-SENSORY-STARTER,0850001000208,Tactile Paper Sampler,1,0,visible,"Textured paper swatches in cream, black, red, yellow, and blue.","A sampler pack for choosing stationery stock by hand, not by screen.",,,none,,1,,0,no,0,0.9,35,20,20,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,,"Shop > Curated Bundles, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-sensory-starter.jpg,,,,"WO-FOG-IN-BOTTLE, WO-HANDCRAFTED-ECHO, WO-POCKET-THUNDER",WO-HAUNTED-CANDLE,WO-SILENCE-JAR,,,19,Brand,Bauhaus Press,1,1,,Items,3 products,1,0,,Mood,Dramatic,1,0,,,,,,Tactile Paper Sampler | Bauhaus Press,"Tactile Paper Sampler: Textured paper swatches in cream, black, red, yellow, and blue.",tactile paper sampler,4.5,19,2026-04-16-a,no,no
1044,grouped,WO-VOID-SAMPLER,0850001000215,Black Square Memo Block,1,0,visible,A memo block with black cover board and cream tear-off sheets.,"Compact notes for counters, drawers, and anyone who likes their blank pages framed.",,,none,,1,,0,no,0,0.5,45,30,8,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,,"Shop > Curated Bundles, Shop > Impossibilities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-void-sampler.jpg,,,,"WO-PORTABLE-HOLE, WO-MOON-DUST, WO-GENTLY-USED-LUCK",WO-COSMIC-MYSTERY-BOX,WO-SPARE-TUESDAY,,,20,Brand,Bauhaus Press,1,1,,Items,3 products,1,0,,Recommended Age,14+,1,0,,,,,,Black Square Memo Block | Bauhaus Press,Black Square Memo Block: A memo block with black cover board and cream tear-off sheets.,black square memo block,4.3,12,2026-04-16-a,no,no
1045,external,WO-INTERDIM-BAZAAR,0850001000222,Modular Desk Calendar,1,1,visible,Perpetual desk calendar made from numbered cream cards and color tabs.,"A modular calendar stack for the counter, studio desk, or anywhere time needs typography.",,,taxable,,1,99,10,no,0,0.08,15,6,3,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,189.0,"Shop > Impossibilities, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-interdim-bazaar.jpg,,,,,WO-COSMIC-MYSTERY-BOX,WO-WHISPERING-STONE,https://example.com/interdimensional-bazaar/reading-glasses,Buy at Interdimensional Bazaar,21,Brand,Bauhaus Press,1,1,,Retailer,Interdimensional Bazaar,1,0,,Dimension,4.5,1,0,,,,,,Modular Desk Calendar | Bauhaus Press,Modular Desk Calendar: Perpetual desk calendar made from numbered cream cards and color tabs.,modular desk calendar,4.6,88,2026-04-16-a,no,no
1046,external,WO-COSMIC-MYSTERY-BOX,0850001000239,Gift Wrap Grid Kit,1,0,visible,"Cream wrapping sheets, blue ribbon, yellow seal, and red dot labels.",A flat-pack wrapping kit for turning any parcel into a tiny composition exercise.,,,taxable,,1,25,5,no,0,1.2,25,25,25,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,249.0,"Shop > Curiosities, Shop > Impossibilities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-cosmic-mystery-box.jpg,,,,,WO-MOON-DUST,WO-VOID-SAMPLER,https://example.com/cosmic-surplus/mystery-box,Buy from Cosmic Surplus,22,Brand,Bauhaus Press,1,1,,Retailer,Cosmic Surplus Co.,1,0,,Contents,Randomized,1,0,,,,,,Gift Wrap Grid Kit | Bauhaus Press,"Gift Wrap Grid Kit: Cream wrapping sheets, blue ribbon, yellow seal, and red dot labels.",gift wrap grid kit,4.2,41,2026-04-16-a,no,no
1047,external,WO-WHISPERING-STONE,0850001000246,Primary Label Roll,1,0,visible,"Gummed labels in red, yellow, blue, and cream.","A roll of labels for jars, parcels, notebooks, and everything else that needs a name.",,,taxable,,1,50,10,no,0,0.1,4,4,4,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,44.0,Shop > Curiosities,"stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-whispering-stone.jpg,,,,,WO-SILENCE-JAR,WO-MOON-DUST,https://example.com/meaningful-quarry/stone,Order from Meaningful Quarry,23,Brand,Bauhaus Press,1,1,,Retailer,Meaningful Quarry Direct,1,0,,Language,Your choice,1,0,,,,,,Primary Label Roll | Bauhaus Press,"Primary Label Roll: Gummed labels in red, yellow, blue, and cream.",primary label roll,4.9,207,2026-04-16-a,no,no
1048,simple,WO-ONE-HAND-CLAPPING,0850001000253,Red Blue Bookmark,1,0,visible,"A thick bookmark with a red circle, blue triangle, and black rule.","Letterpress bookmark for catalogues, novels, ledgers, and books that deserve a little order.",,,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,6.0,Shop > Digital Oddments,"stationery, bauhaus, primary-colors, studio",,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-one-hand-clapping.jpg,3,30,,,"WO-LOST-RECIPE-TIME, WO-IMAGINARY-DEED",WO-SILENCE-JAR,,,24,Brand,Bauhaus Press,1,1,,Format,WAV,1,0,,Duration,4.3s,1,0,,Sound of One Hand (WAV),https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/one-hand.wav,,,Red Blue Bookmark | Bauhaus Press,"Red Blue Bookmark: A thick bookmark with a red circle, blue triangle, and black rule.",red blue bookmark,4.7,63,2026-04-16-a,yes,yes
1049,simple,WO-LOST-RECIPE-TIME,0850001000260,Workshop Receipt Pad,1,0,visible,Carbonless receipt pad with bold headings and tidy totals.,"A practical pad for studio sales, edition notes, and signed little transactions.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,Packed flat by Bauhaus Press. Keep dry; keep square.,9.0,12.0,Shop > Digital Oddments,"stationery, bauhaus, primary-colors, studio",,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-lost-recipe-time.jpg,5,365,,,WO-SPARE-TUESDAY,WO-ONE-HAND-CLAPPING,,,25,Brand,Bauhaus Press,1,1,,Format,PDF,1,0,,Pages,12,1,0,,Lost Recipe for Time (PDF),https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/lost-recipe.pdf,,,Workshop Receipt Pad | Bauhaus Press,Workshop Receipt Pad: Carbonless receipt pad with bold headings and tidy totals.,workshop receipt pad,4.8,41,2026-04-16-a,yes,yes
1050,simple,WO-IMAGINARY-DEED,0850001000277,Imaginary Ownership Certificate,1,0,visible,A formal certificate with blue gridwork and a red registration seal.,"A numbered certificate for invented collections, make-believe editions, and official-looking delight.",,,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,4.0,Shop > Digital Oddments,"stationery, bauhaus, primary-colors, studio",,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-imaginary-deed.jpg,10,90,,,WO-LOST-RECIPE-TIME,WO-IMAGINARY-DEED,,,26,Brand,Bauhaus Press,1,1,,Format,ZIP (PDF+PNG),1,0,,License,"Personal, Imaginary",1,0,,Imaginary Deed (PDF),https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/imaginary-deed.pdf,Imaginary Seal (PNG),https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/imaginary-seal.png,Imaginary Ownership Certificate | Bauhaus Press,Imaginary Ownership Certificate: A formal certificate with blue gridwork and a red registration seal.,imaginary ownership certificate,4.5,29,2026-04-16-a,yes,yes
1051,simple,WO-DEJA-VU-SESSION,0850001000284,Color Theory Swatch Deck,1,1,visible,Thirty-six cards pairing primary planes with black type.,"A boxed deck for choosing covers, labels, displays, and exact arguments about yellow.",,,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,45.0,"Shop > Digital Oddments, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",,"https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-deja-vu-session.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-borrowed-nostalgia.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-spare-key-nowhere.jpg",,,,,WO-BORROWED-NOSTALGIA,WO-SPARE-TUESDAY,,,27,Brand,Bauhaus Press,1,1,,Duration,15 min,1,0,,Delivery,Remote,1,0,,,,,,Color Theory Swatch Deck | Bauhaus Press,Color Theory Swatch Deck: Thirty-six cards pairing primary planes with black type.,color theory swatch deck,4.4,73,2026-04-16-a,yes,no
1052,simple,WO-BORROWED-NOSTALGIA,0850001000291,Archive Folder Set,1,0,visible,Tabbed folders with black rules and primary-color index marks.,"Six heavy folders for receipts, drawings, proofs, and the satisfying business of sorting paper.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,Packed flat by Bauhaus Press. Keep dry; keep square.,30.0,38.0,"Shop > Digital Oddments, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-borrowed-nostalgia.jpg,,,,,WO-MEMORY-FOAM-MEMORY,WO-DEJA-VU-SESSION,,,28,Brand,Bauhaus Press,1,1,,Duration,60 min,1,0,,Delivery,Broadcast,1,0,,,,,,Archive Folder Set | Bauhaus Press,Archive Folder Set: Tabbed folders with black rules and primary-color index marks.,archive folder set,4.6,58,2026-04-16-a,yes,no
1053,simple,WO-SPARE-KEY-NOWHERE,0850001000307,Registration Mark Eraser,1,0,visible,Block eraser printed with a small crosshair and red dot.,"Soft white eraser for pencil drafts, print proofs, and the occasional structural regret.",,,taxable,,1,36,5,no,0,0.08,7,2,0.5,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,19.0,Shop > Curiosities,"stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-spare-key-nowhere.jpg,,,,,WO-HAUNTED-CANDLE,WO-GENTLY-USED-LUCK,,,29,Brand,Bauhaus Press,1,1,,Material,Brass,1,0,,Length,7cm,1,0,,,,,,Registration Mark Eraser | Bauhaus Press,Registration Mark Eraser: Block eraser printed with a small crosshair and red dot.,registration mark eraser,4.3,37,2026-04-16-a,no,no
